Epoch,PC_Index,Source_Line,Voltage,Action,Status,Total_Cycles,Wasted_Cycles,Wasted_Time_ms
3,38,60,2.000000015625,EXECUTE,SUCCESS,253,0,0.0
3,39,67,2.000000015625,EXECUTE,SUCCESS,254,0,0.0
3,40,69,2.0000000312499995,EXECUTE,SUCCESS,256,0,0.0
3,41,70,2.000000015625,EXECUTE,SUCCESS,257,0,0.0
3,42,72,2.0000000312499995,EXECUTE,SUCCESS,259,0,0.0
3,43,73,2.0000000312499995,EXECUTE,SUCCESS,261,0,0.0
3,44,74,2.0000000312499995,EXECUTE,SUCCESS,263,0,0.0
3,45,75,2.0000000312499995,EXECUTE,SUCCESS,265,0,0.0
3,46,76,2.0000000312499995,EXECUTE,SUCCESS,267,0,0.0
3,47,78,2.000000015625,EXECUTE,SUCCESS,268,0,0.0
3,48,81,2.000000015625,EXECUTE,SUCCESS,269,0,0.0
3,49,83,2.0000000312499995,EXECUTE,SUCCESS,271,0,0.0
3,50,84,2.000000015625,EXECUTE,SUCCESS,272,0,0.0
3,51,85,2.000000015625,EXECUTE,SUCCESS,273,0,0.0
3,52,86,2.000000015625,EXECUTE,SUCCESS,274,0,0.0
3,53,42,2.000000015625,EXECUTE,SUCCESS,275,0,0.0
3,54,44,2.000000015625,EXECUTE,SUCCESS,276,0,0.0
3,55,46,2.0000000312499995,EXECUTE,SUCCESS,278,0,0.0
3,56,47,2.0000000312499995,EXECUTE,SUCCESS,280,0,0.0
3,57,49,2.0000000312499995,EXECUTE,SUCCESS,282,0,0.0
3,58,51,2.0000000312499995,EXECUTE,SUCCESS,284,0,0.0
3,59,52,2.0000000468749994,EXECUTE,SUCCESS,287,0,0.0
3,60,53,2.0000000312499995,EXECUTE,SUCCESS,289,0,0.0
3,61,55,2.0000000312499995,EXECUTE,SUCCESS,291,0,0.0
3,62,56,2.000000015625,EXECUTE,SUCCESS,292,0,0.0
3,63,59,2.000000015625,EXECUTE,SUCCESS,293,0,0.0
3,64,60,2.000000015625,EXECUTE,SUCCESS,294,0,0.0
3,65,67,2.000000015625,EXECUTE,SUCCESS,295,0,0.0
3,66,69,2.0000000312499995,EXECUTE,SUCCESS,297,0,0.0
3,67,70,2.000000015625,EXECUTE,SUCCESS,298,0,0.0
3,68,72,2.0000000312499995,EXECUTE,SUCCESS,300,0,0.0
3,69,73,2.0000000312499995,EXECUTE,SUCCESS,302,0,0.0
3,70,74,2.0,EXECUTE,CRASH,304,102,0.006375
4,1,42,3.296968313845312,EXECUTE,SUCCESS,1,0,0.0
4,2,44,3.2939338373743943,EXECUTE,SUCCESS,2,0,0.0
4,3,46,3.2744465562900857,EXECUTE,SUCCESS,4,0,0.0
4,4,47,3.2548426037214147,EXECUTE,SUCCESS,6,0,0.0
4,5,49,3.2440715929214625,EXECUTE,SUCCESS,8,0,0.0
4,6,51,3.224282962923694,EXECUTE,SUCCESS,10,0,0.0
4,7,52,3.196560778790229,EXECUTE,SUCCESS,13,0,0.0
4,8,53,3.1764761824229053,EXECUTE,SUCCESS,15,0,0.0
4,8,55,2.0000014999994375,CHECKPOINT,SUCCESS,111,0,0.0
4,9,55,2.0000000312499995,EXECUTE,SUCCESS,113,0,0.0
4,10,56,2.000000015625,EXECUTE,SUCCESS,114,0,0.0
4,11,59,2.000000015625,EXECUTE,SUCCESS,115,0,0.0
4,12,60,2.000000015625,EXECUTE,SUCCESS,116,0,0.0
4,13,67,2.000000015625,EXECUTE,SUCCESS,117,0,0.0
4,14,69,2.0000000312499995,EXECUTE,SUCCESS,119,0,0.0
4,15,70,2.000000015625,EXECUTE,SUCCESS,120,0,0.0
4,16,72,2.0000000312499995,EXECUTE,SUCCESS,122,0,0.0
4,17,73,2.0000000312499995,EXECUTE,SUCCESS,124,0,0.0
4,18,74,2.0000000312499995,EXECUTE,SUCCESS,126,0,0.0
4,19,75,2.0000000312499995,EXECUTE,SUCCESS,128,0,0.0
4,20,76,2.0000000312499995,EXECUTE,SUCCESS,130,0,0.0
4,21,78,2.000000015625,EXECUTE,SUCCESS,131,0,0.0
4,22,81,2.000000015625,EXECUTE,SUCCESS,132,0,0.0
4,23,83,2.0000000312499995,EXECUTE,SUCCESS,134,0,0.0
4,24,84,2.000000015625,EXECUTE,SUCCESS,135,0,0.0
4,25,85,2.000000015625,EXECUTE,SUCCESS,136,0,0.0
4,26,86,2.000000015625,EXECUTE,SUCCESS,137,0,0.0
4,27,42,2.000000015625,EXECUTE,SUCCESS,138,0,0.0
4,28,44,2.000000015625,EXECUTE,SUCCESS,139,0,0.0
4,29,46,2.0000000312499995,EXECUTE,SUCCESS,141,0,0.0
4,30,47,2.0000000312499995,EXECUTE,SUCCESS,143,0,0.0
4,31,49,2.0000000312499995,EXECUTE,SUCCESS,145,0,0.0
4,32,51,2.0000000312499995,EXECUTE,SUCCESS,147,0,0.0
4,33,52,2.0000000468749994,EXECUTE,SUCCESS,150,0,0.0
4,34,53,2.0000000312499995,EXECUTE,SUCCESS,152,0,0.0
4,35,55,2.0000000312499995,EXECUTE,SUCCESS,154,0,0.0
4,36,56,2.000000015625,EXECUTE,SUCCESS,155,0,0.0
4,37,59,2.000000015625,EXECUTE,SUCCESS,156,0,0.0
4,38,60,2.000000015625,EXECUTE,SUCCESS,157,0,0.0
4,39,67,2.000000015625,EXECUTE,SUCCESS,158,0,0.0
4,40,69,2.0000000312499995,EXECUTE,SUCCESS,160,0,0.0
4,41,70,2.000000015625,EXECUTE,SUCCESS,161,0,0.0
4,42,72,2.0000000312499995,EXECUTE,SUCCESS,163,0,0.0
4,43,73,2.0000000312499995,EXECUTE,SUCCESS,165,0,0.0
4,44,74,2.0000000312499995,EXECUTE,SUCCESS,167,0,0.0
4,45,75,2.0000000312499995,EXECUTE,SUCCESS,169,0,0.0
4,46,76,2.0000000312499995,EXECUTE,SUCCESS,171,0,0.0
4,47,78,2.000000015625,EXECUTE,SUCCESS,172,0,0.0
4,48,81,2.000000015625,EXECUTE,SUCCESS,173,0,0.0
4,48,83,2.0000014999994375,CHECKPOINT,SUCCESS,269,0,0.0
4,49,83,2.0000000312499995,EXECUTE,SUCCESS,271,0,0.0
4,49,84,2.0000014999994375,CHECKPOINT,SUCCESS,367,0,0.0
4,50,84,2.000000015625,EXECUTE,SUCCESS,368,0,0.0
4,51,85,2.000000015625,EXECUTE,SUCCESS,369,0,0.0
4,52,86,2.000000015625,EXECUTE,SUCCESS,370,0,0.0
4,53,42,2.000000015625,EXECUTE,SUCCESS,371,0,0.0
4,54,44,2.000000015625,EXECUTE,SUCCESS,372,0,0.0
4,55,46,2.0000000312499995,EXECUTE,SUCCESS,374,0,0.0
4,56,47,2.0000000312499995,EXECUTE,SUCCESS,376,0,0.0
4,57,49,2.0000000312499995,EXECUTE,SUCCESS,378,0,0.0
4,57,51,2.0000014999994375,CHECKPOINT,SUCCESS,474,0,0.0
4,58,51,2.0000000312499995,EXECUTE,SUCCESS,476,0,0.0
4,59,52,2.0000000468749994,EXECUTE,SUCCESS,479,0,0.0
