Epoch,PC_Index,Source_Line,Voltage,Action,Status,Total_Cycles,Wasted_Cycles,Wasted_Time_ms
3,16,72,2.0000000312499995,EXECUTE,SUCCESS,26,0,0.0
3,17,73,2.0000000312499995,EXECUTE,SUCCESS,28,0,0.0
3,18,74,2.0000000312499995,EXECUTE,SUCCESS,30,0,0.0
3,19,75,2.0000000312499995,EXECUTE,SUCCESS,32,0,0.0
3,20,76,2.00000001125,EXECUTE,SUCCESS,34,0,0.0
3,21,78,2.000000005625,EXECUTE,SUCCESS,35,0,0.0
3,22,81,2.000000005625,EXECUTE,SUCCESS,36,0,0.0
3,23,83,2.0000000312499995,EXECUTE,SUCCESS,38,0,0.0
3,24,84,2.000000015625,EXECUTE,SUCCESS,39,0,0.0
3,25,85,2.000000015625,EXECUTE,SUCCESS,40,0,0.0
3,26,86,2.000000015625,EXECUTE,SUCCESS,41,0,0.0
3,27,42,2.000000015625,EXECUTE,SUCCESS,42,0,0.0
3,28,44,2.000000005625,EXECUTE,SUCCESS,43,0,0.0
3,29,46,2.00000001125,EXECUTE,SUCCESS,45,0,0.0
3,30,47,2.00000001125,EXECUTE,SUCCESS,47,0,0.0
3,31,49,2.0000000312499995,EXECUTE,SUCCESS,49,0,0.0
3,32,51,2.0000000312499995,EXECUTE,SUCCESS,51,0,0.0
3,33,52,2.0000000468749994,EXECUTE,SUCCESS,54,0,0.0
3,34,53,2.0000000312499995,EXECUTE,SUCCESS,56,0,0.0
3,35,55,2.0000000312499995,EXECUTE,SUCCESS,58,0,0.0
3,36,56,2.000000005625,EXECUTE,SUCCESS,59,0,0.0
3,37,59,2.000000005625,EXECUTE,SUCCESS,60,0,0.0
3,38,60,2.000000005625,EXECUTE,SUCCESS,61,0,0.0
3,39,67,2.000000015625,EXECUTE,SUCCESS,62,0,0.0
3,40,69,2.0000000312499995,EXECUTE,SUCCESS,64,0,0.0
3,41,70,2.000000015625,EXECUTE,SUCCESS,65,0,0.0
3,42,72,2.0000000312499995,EXECUTE,SUCCESS,67,0,0.0
3,43,73,2.0000000312499995,EXECUTE,SUCCESS,69,0,0.0
3,44,74,2.00000001125,EXECUTE,SUCCESS,71,0,0.0
3,45,75,2.00000001125,EXECUTE,SUCCESS,73,0,0.0
3,46,76,2.00000001125,EXECUTE,SUCCESS,75,0,0.0
3,47,78,2.000000005625,EXECUTE,SUCCESS,76,0,0.0
3,48,81,2.000000005625,EXECUTE,SUCCESS,77,0,0.0
3,49,83,2.00000001125,EXECUTE,SUCCESS,79,0,0.0
3,50,84,2.000000005625,EXECUTE,SUCCESS,80,0,0.0
3,51,85,2.000000005625,EXECUTE,SUCCESS,81,0,0.0
3,52,86,2.000000005625,EXECUTE,SUCCESS,82,0,0.0
